product_category,avg_spend_overall,avg_spend_non_responder,avg_spend_responder,responder_minus_non_responder
MntWines,305.2875226039783,270.3166577967004,502.61561561561564,232.29895781891526
MntMeatProducts,167.02983725135624,144.56945183608303,293.76576576576576,149.19631392968273
MntGoldProds,43.92585895117541,40.85524215007983,61.252252252252255,20.397010102172423
MntFishProducts,37.64873417721519,35.155934007450774,51.71471471471472,16.558780707263942
MntSweetProducts,27.046564195298373,25.039382650345928,38.372372372372375,13.332989722026447
MntFruits,26.329566003616637,24.271953166577966,37.93993993993994,13.667986773361974
