method,solution,n_components,aic,bic,silhouette_score,cluster_size_distribution,min_cluster_size,min_cluster_share,avg_max_assignment_probability,pct_max_assignment_prob_below_0_60,pct_max_assignment_prob_below_0_70,response_rate_range,total_spend_mean_range,interpretability_note
gmm,gmm_n3,3,6173.571805312573,9759.911141414534,0.20774421427114578,0:21|1:1208|2:983,21,0.00949367088607595,0.9931377534271703,0.18083182640144665,0.81374321880651,0.20198675496688742,939.1411326996017,Very small cluster detected (<5%): risk of unstable niche segment.
gmm,gmm_n4,4,2591.643865039066,7375.330197295893,0.11340034527872885,0:712|1:825|2:646|3:29,29,0.013110307414104882,0.9852985217368835,0.9945750452079566,2.034358047016275,0.21276822888865163,1327.1263436184647,Very small cluster detected (<5%): risk of unstable niche segment.
gmm,gmm_n5,5,-1553.8642253419139,4427.169103069781,0.09151397169345377,0:752|1:482|2:478|3:481|4:19,19,0.008589511754068717,0.9852597802454506,0.8589511754068716,1.5370705244122964,0.31742738589211617,1325.3392943850974,Very small cluster detected (<5%): risk of unstable niche segment.
gmm,gmm_n6,6,-6240.360745447859,938.0195791187034,0.07172686541876486,0:385|1:666|2:123|3:592|4:70|5:376,70,0.03164556962025317,0.9862849799242089,0.9041591320072333,1.5822784810126582,0.3038961038961039,1403.1620525815647,Very small cluster detected (<5%): risk of unstable niche segment.
