method,solution,n_clusters,inertia,silhouette_score,calinski_harabasz_score,davies_bouldin_score,cluster_size_distribution,min_cluster_size,min_cluster_share,response_rate_range,total_spend_mean_range,interpretability_note
kmeans,kmeans_k3,3,28978.48615586781,0.16393781630466417,497.3754654856428,1.7831896886389582,0:706|1:835|2:671,671,0.30334538878842676,0.13527651005011335,1165.6138126258638,Cluster sizes appear reasonably balanced.
kmeans,kmeans_k4,4,26533.117082178123,0.15173964660389433,429.8113106046236,1.9240842078041451,0:706|1:621|2:490|3:395,395,0.17857142857142858,0.16775773111176837,1188.1051496927273,Cluster sizes appear reasonably balanced.
kmeans,kmeans_k5,5,24753.04562264576,0.1540220671386017,385.06195249707685,1.5480392309206725,0:623|1:387|2:708|3:493|4:1,1,0.0004520795660036166,0.23595505617977527,1187.9188803766372,Very small cluster detected (<5%): risk of unstable niche segment.
kmeans,kmeans_k6,6,23762.354186973607,0.13991691826904964,339.1416047962553,1.6587959779888,0:543|1:334|2:619|3:393|4:322|5:1,1,0.0004520795660036166,0.23263327948303716,1200.1791776114312,Very small cluster detected (<5%): risk of unstable niche segment.
