feature,mean_missing_any,mean_not_missing_any,difference,pct_difference
Income,,52247.25135379061,,
MntFishProducts,27.166666666666668,37.63763537906137,-10.470968712394704,-27.82047439202286
MntFruits,21.333333333333332,26.356046931407942,-5.02271359807461,-19.057158348314932
MntGoldProds,49.25,43.96525270758123,5.284747292418771,12.020281852053328
MntMeatProducts,162.70833333333334,166.99593862815885,-4.287605294825511,-2.567490760582207
MntSweetProducts,30.208333333333332,27.028880866425993,3.179452466907339,11.763167267708466
MntWines,197.20833333333334,305.09160649819495,-107.8832731648616,-35.36094434164641
NumCatalogPurchases,1.8333333333333333,2.671028880866426,-0.8376955475330929,-31.36227966435773
NumStorePurchases,4.791666666666667,5.800992779783393,-1.0093261131167264,-17.399196162323342
NumWebPurchases,4.041666666666667,4.08528880866426,-0.04362214199759329,-1.067786000957326
Recency,58.041666666666664,49.01263537906137,9.029031287605292,18.421844117899795
