Income_Band,customer_count,response_rate_pct,avg_total_spend,avg_total_purchases
Q1 Low Income,443,10.15801354401806,73.12415349887134,5.27765237020316
Q2,442,13.122171945701359,157.76244343891403,7.199095022624435
Q3,442,10.85972850678733,442.75113122171945,12.726244343891402
Q4,442,10.85972850678733,949.3099547511313,18.18099547511312
Q5 High Income,443,30.248306997742663,1412.7787810383747,19.451467268623023
